-0.88488,-1.0303,-1.9786
0.59437,-2.1969,-0.13464
-1.8232,-1.5512,-0.67683
-0.063532,1.1125,-1.249
-1.583,-0.23458,2.2531
1.1833,-2.0601,0.73858
-2.4981,1.3235,0.3155
1.6606,2.0962,-2.438
1.0553,1.6402,2.2347
0.76171,-1.3759,-2.1835
2.4002,-2.8302,0.85332
-1.0289,-1.1874,2.9731
-0.50072,1.2355,1.6645
2.8832,-0.80868,1.4062
0.028448,0.18912,2.778
2.6371,0.93695,1.0854
-2.8247,-1.7719,-2.9115
-0.62468,0.64956,-2.2732
-1.9805,-2.6676,-0.25628
2.1524,2.2587,-0.49458
2.5922,-0.69829,-1.4258
-0.26583,-0.55677,-2.6847
1.8206,0.38614,1.7565
-2.7171,2.8987,-1.8503
-1.2091,1.8797,2.0216
-2.0898,-0.050549,0.012491
1.93,-2.3062,-0.91167
0.4845,2.7701,-1.5258
-2.4368,-2.5401,2.5508
-1.4525,1.8725,-1.0176
1.4415,2.4586,1.1528
0.32768,0.048198,0.54214
-0.99856,-0.04018,0.25193
-2.4755,0.10935,0.30322
0.06964,-0.10884,0.09497
-0.14143,-0.24344,0.14385
1.0007,-0.040178,0.10303
0.041784,-0.056584,-0.061659
-0.024493,0.046132,-0.13943
0.18278,-0.072716,-0.3094
0.25975,0.0040786,-0.02377
0.78995,0.11265,-0.089943
-2.3696,-0.34133,-0.039213
-1.5881,-0.61128,0.19883
0.26462,0.052524,0.10523
0.56633,-0.32587,-0.013414
-0.79469,0.3711,-0.059097
1.3382,-0.14413,0.61544
-0.65698,0.067208,-0.52071
-0.52675,-0.47307,0.51493
-2.4433,0.022302,-0.33419
0.94113,-0.33505,-0.52148
2.4633,-0.87642,0.21699
-2.432,0.45682,-0.0033608
1.7942,0.71734,0.50836
-0.80743,0.26805,0.79329
2.1942,0.69002,3
0.81076,0.46159,-0.31125
-0.63253,0.33358,-1.0641
0.24713,0.1828,-0.69156
-3,-0.14226,0.5809
2.463,0.66999,-0.64459
-2.5299,0.1979,-0.78694
-1.4379,0.94276,2.9551
1.1366,-0.52547,2.5037
2.6516,-3,-0.075094
-1.4113,0.035575,-0.1246
-1.0756,0.63977,-0.44785
2.6,-0.054851,-0.61069
-3,-0.042082,1.1397
3,3,3
-3,-3,1.6158
2.2946,-1.1085,-0.19
-0.26766,-0.57347,-0.74661
-3,3,-3
-3,-3,-1.6084
3,0.38584,-3
-3,-0.01563,2.6799
0.27493,0.058435,0.0017331
0.58218,0.37131,0.9454
0.21114,1.1285,-0.12836
-1.4985,0.31645,0.20871
0.4767,-0.045225,-0.031254
2.1457,-0.47453,0.14346
1.3982,0.024034,-0.10626
-0.83622,-0.30917,-0.086862
1.6268,0.46308,0.084381
-1.4904,-0.15742,-0.64577
-0.16578,-1.069,0.10523
0.65887,-0.039135,-1.302
-0.077983,2.2578,0.039104
-0.04817,-0.5157,-0.23015
-3,-1.207,0.43873
0.52599,-0.67636,0.86009
1.0454,0.42455,0.22967
3,0.11652,0.78055
3,0.26002,-1.5399
0.0092886,-3,-0.72291
-0.6694,1.4778,0.44721
3,-3,-3
1.429,-0.52751,0.12958
-3,-0.16636,-1.5968
0.68114,3,-0.11326
-0.6213,2.6821,0.11514
3,2.9697,0.30526
1.5758,0.12971,-0.20932
0.16147,3,0.5517
-3,2.8941,-0.27276
-0.11128,3,-0.47036
-3,2.4153,0.39029
3,2.7678,-0.27078
2.1393,1.9396,0.22062
3,-3,3
-1.3502,3,0.61812
-3,3,3
3,0.0065039,3
-3,1.0472,-0.45666
3,0.11564,-0.023205
0.64079,-3,3
3,1.3481,-0.19884
-0.38711,-0.019543,-0.010781
-3,-1.0068,-0.1935
-1.7991,0.24415,-0.27447
-0.56261,-0.0095647,0.019901
-0.2784,-2.3974,0.32055
-0.47189,-0.043988,-0.085138
0.89374,0.81397,-0.04595
2.7486,0.31718,2.4757
-1.9149,0.45911,0.51714
-3,0.34468,3
-0.21976,0.085502,-0.13901
1.6413,3,-0.9085
2.2417,-1.4182,0.15688
-0.43821,0.13028,0.15336
2.9587,-0.1921,-0.16357
-3,-1.7635,1.7541
-0.13594,-0.25511,-0.40428
-3,3,1.9544
-3,1.3182,-3
3,-2.3669,-2.1371
-1.857,0.16384,0.079552
-0.49939,-0.18612,0.048533
-3,1.9844,3
-3,1.6948,0.93579
-0.027524,0.0073327,-0.0041387
0.39077,-0.079663,-0.61859
-2.2938,1.9841,-0.19364
-0.17803,0.6148,0.13406
3,-1.9596,3
-0.031996,0.055285,-0.58709
0.13937,-0.14798,0.32466
2.3114,-0.71086,-0.43736
-0.02146,0.18526,0.4057
-3,-2.01,0.062162
3,-2.3903,1.81
-3,-0.018525,-3
-2.8248,0.55599,1.084
-3,-1.9579,-1.5884
0.26874,-0.2122,-0.35222
3,-1.0555,-3
3,3,-2.4854
-3,-2.853,0.43338
1.4466,-0.42359,0.42818
-0.23986,0.43902,0.31662
1.2518,0.033738,0.37943
-1.6483,-0.25797,0.21855
3,-2.4902,0.00023055
-3,-3,3
1.577,1.0312,0.19238
-1.461,3,0.1688
-3,1.4712,-1.9996
2.6804,2.4267,0.23049
0.32768,-0.10892,0.012491
0.12065,0.046132,-0.013838
0.23086,0.11265,-0.056391
0.29372,-0.010335,-0.023717
0.18555,0.010514,-0.027568
0.40803,0.019727,-0.018113
0.26113,0.017476,-0.0044584
0.26442,0.018854,-0.0067505
0.00064852,0.0052509,0.018692
0.23994,0.0067131,0.011019
-0.024493,0.01383,0.0091936
0.087011,0.0084603,0.0046078
-0.024493,-0.0010194,-0.0092031
-0.024493,0.0014453,-0.0041112
-0.024493,-0.0015423,0.001884
-0.93854,-0.016661,0.024402
-0.2147,-0.0049666,0.0088845
-0.13981,0.017046,0.045246
0.33226,-0.013927,0.00031837
-0.095968,-0.029412,-0.0010671
0.030563,-0.00617,-0.0014994
-0.042079,-0.0038194,0.0036003
-0.8613,0.0040581,0.028681
0.40728,-0.0034703,-0.0047542
0.11613,-0.001361,-0.00080156
0.0070346,2.7635e-05,0.00088009
-0.20999,-0.045803,-0.0040543
-0.30072,0.0090582,0.025221
0.0070346,2.7635e-05,0.00088009
